error_date,error_hour,error_number,client_hostname,nt_username,session_nt_username,username,error_count
2019-12-06,23,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,112
2019-12-07,0,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,78
2019-12-07,1,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,2,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,3,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,4,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,5,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,6,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,7,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,8,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,9,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,10,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,11,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,12,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,13,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,6
2019-12-07,14,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,6
2019-12-07,15,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,16,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,17,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
2019-12-07,18,18456,VAAZGPYTWW001,,NT AUTHORITY\ANONYMOUS LOGON,NULL,4
